DATE,MinTemp,MaxTemp,AvgTemp,Sunrise,Sunset
2014-01-01,33,46,40,657,1756
2014-01-02,35,50,43,657,1756
2014-01-03,36,45,41,657,1757
2014-01-04,32,41,37,658,1757
2014-01-05,24,38,31,658,1758
2014-01-06,22,39,31,658,1759
2014-01-07,28,45,37,658,1759
2014-01-08,30,41,36,659,1800
2014-01-09,29,42,36,659,1801
2014-01-10,30,47,39,659,1801
2014-01-11,32,47,40,659,1802
2014-01-12,30,47,39,659,1803
2014-01-13,29,42,36,659,1803
2014-01-14,31,47,39,659,1804
2014-01-15,35,51,43,659,1804
2014-01-16,35,55,45,700,1805
2014-01-17,42,57,50,700,1806
2014-01-18,38,54,46,700,1806
2014-01-19,37,51,44,700,1807
2014-01-20,36,53,45,659,1808
2014-01-21,40,55,48,659,1808
2014-01-22,31,44,38,659,1809
2014-01-23,31,46,39,659,1810
2014-01-24,39,54,47,659,1810
2014-01-25,41,62,52,659,1811
2014-01-26,42,58,50,659,1811
2014-01-27,38,51,45,659,1812
2014-01-28,29,39,34,658,1813
2014-01-29,30,36,33,658,1813
2014-01-30,28,39,34,658,1814
2014-01-31,33,42,38,658,1814
2014-02-01,35,50,43,657,1815
2014-02-02,37,49,43,657,1816
2014-02-03,36,50,43,657,1816
2014-02-04,36,55,46,656,1817
2014-02-05,38,53,46,656,1817
2014-02-06,39,49,44,655,1818
2014-02-07,39,52,46,655,1818
2014-02-08,37,52,45,655,1819
2014-02-09,34,57,46,654,1819
2014-02-10,36,54,45,654,1820
2014-02-11,34,52,43,653,1820
2014-02-12,35,52,44,653,1821
2014-02-13,35,49,42,652,1821
2014-02-14,36,48,42,652,1822
2014-02-15,38,55,47,651,1822
2014-02-16,36,46,41,651,1823
2014-02-17,36,43,40,650,1823
2014-02-18,37,45,41,649,1823
2014-02-19,35,46,41,649,1824
2014-02-20,33,47,40,648,1824
2014-02-21,34,48,41,647,1825
2014-02-22,34,48,41,647,1825
2014-02-23,33,48,41,646,1825
2014-02-24,33,50,42,646,1826
2014-02-25,33,47,40,645,1826
2014-02-26,36,50,43,644,1827
2014-02-27,36,55,46,643,1827
2014-02-28,36,57,47,643,1827
2014-03-01,41,55,48,642,1828
2014-03-02,31,45,38,641,1828
2014-03-03,31,42,37,640,1828
2014-03-04,34,43,39,640,1829
2014-03-05,33,46,40,639,1829
2014-03-06,35,46,41,638,1829
2014-03-07,34,54,44,637,1830
2014-03-08,34,43,39,637,1830
2014-03-09,36,47,42,636,1830
2014-03-10,32,47,40,635,1831
2014-03-11,31,49,40,634,1831
2014-03-12,29,50,40,633,1831
2014-03-13,33,55,44,632,1832
2014-03-14,36,51,44,632,1832
2014-03-15,32,48,40,631,1832
2014-03-16,31,49,40,630,1832
2014-03-17,36,53,45,629,1833
2014-03-18,35,53,44,628,1833
2014-03-19,35,53,44,627,1833
2014-03-20,33,48,41,626,1833
2014-03-21,30,48,39,626,1834
2014-03-22,30,43,37,625,1834
2014-03-23,32,45,39,624,1834
2014-03-24,31,51,41,623,1834
2014-03-25,34,53,44,622,1835
2014-03-26,35,55,45,621,1835
2014-03-27,31,46,39,620,1835
2014-03-28,29,43,36,620,1835
2014-03-29,32,39,36,619,1836
2014-03-30,32,41,37,618,1836
2014-03-31,31,42,37,617,1836
2014-04-01,34,45,40,616,1836
2014-04-02,33,52,43,615,1837
2014-04-03,36,51,44,614,1837
2014-04-04,31,50,41,614,1837
2014-04-05,31,51,41,613,1838
2014-04-06,35,49,42,612,1838
2014-04-07,35,49,42,611,1838
2014-04-08,35,52,44,610,1838
2014-04-09,36,53,45,610,1839
2014-04-10,35,55,45,609,1839
2014-04-11,37,56,47,608,1839
2014-04-12,36,52,44,607,1839
2014-04-13,32,49,41,606,1840
2014-04-14,31,50,41,606,1840
2014-04-15,36,53,45,605,1840
2014-04-16,40,59,50,604,1841
2014-04-17,42,58,50,603,1841
2014-04-18,43,60,52,602,1841
2014-04-19,43,60,52,602,1841
2014-04-20,41,57,49,601,1842
2014-04-21,40,54,47,600,1842
2014-04-22,38,58,48,600,1842
2014-04-23,41,58,50,559,1843
2014-04-24,41,59,50,558,1843
2014-04-25,43,59,51,558,1843
2014-04-26,45,62,54,557,1844
2014-04-27,42,53,48,556,1844
2014-04-28,40,53,47,556,1844
2014-04-29,39,53,46,555,1845
2014-04-30,37,50,44,554,1845
2014-05-01,36,53,45,554,1845
2014-05-02,38,51,45,553,1846
2014-05-03,36,55,46,553,1846
2014-05-04,36,55,46,552,1846
2014-05-05,40,54,47,552,1847
2014-05-06,40,58,49,551,1847
2014-05-07,42,60,51,550,1847
2014-05-08,42,61,52,550,1848
2014-05-09,44,59,52,550,1848
2014-05-10,42,56,49,549,1849
2014-05-11,40,56,48,549,1849
2014-05-12,38,55,47,548,1849
2014-05-13,38,56,47,548,1850
2014-05-14,40,55,48,547,1850
2014-05-15,41,58,50,547,1851
2014-05-16,44,60,52,547,1851
2014-05-17,,,,546,1851
2014-05-18,43,60,52,546,1852
2014-05-19,44,60,52,546,1852
2014-05-20,44,62,53,545,1853
2014-05-21,47,62,55,545,1853
2014-05-22,44,59,52,545,1853
2014-05-23,41,58,50,545,1854
2014-05-24,39,57,48,544,1854
2014-05-25,38,52,45,544,1855
2014-05-26,36,47,42,544,1855
2014-05-27,35,49,42,544,1855
2014-05-28,35,51,43,544,1856
2014-05-29,34,53,44,543,1856
2014-05-30,36,55,46,543,1856
2014-05-31,35,51,43,543,1857
2014-06-01,34,53,44,543,1857
2014-06-02,36,48,42,543,1858
2014-06-03,38,53,46,543,1858
2014-06-04,37,53,45,543,1858
2014-06-05,40,55,48,543,1859
2014-06-06,35,52,44,543,1859
2014-06-07,36,53,45,543,1859
2014-06-08,42,54,48,543,1900
2014-06-09,44,57,51,543,1900
2014-06-10,43,60,52,543,1900
2014-06-11,42,55,49,543,1901
2014-06-12,37,53,45,543,1901
2014-06-13,35,57,46,543,1901
2014-06-14,37,62,50,544,1902
2014-06-15,42,60,51,544,1902
2014-06-16,41,58,50,544,1902
2014-06-17,37,52,45,544,1902
2014-06-18,36,51,44,544,1903
2014-06-19,40,57,49,544,1903
2014-06-20,39,52,46,545,1903
2014-06-21,35,48,42,545,1903
2014-06-22,37,53,45,545,1904
2014-06-23,41,60,51,545,1904
2014-06-24,42,60,51,545,1904
2014-06-25,45,62,54,546,1904
2014-06-26,48,64,56,546,1904
2014-06-27,47,60,54,546,1904
2014-06-28,47,59,53,546,1905
2014-06-29,45,61,53,547,1905
2014-06-30,43,61,52,547,1905
2014-07-01,45,62,54,547,1905
2014-07-02,47,61,54,548,1905
2014-07-03,48,66,57,548,1905
2014-07-04,47,65,56,548,1905
2014-07-05,43,61,52,549,1905
2014-07-06,40,58,49,549,1905
2014-07-07,40,56,48,549,1905
2014-07-08,44,55,50,550,1905
2014-07-09,43,59,51,550,1905
2014-07-10,43,62,53,550,1905
2014-07-11,43,62,53,551,1905
2014-07-12,42,61,52,551,1905
2014-07-13,40,56,48,551,1904
2014-07-14,41,51,46,552,1904
2014-07-15,38,55,47,552,1904
2014-07-16,39,52,46,553,1904
2014-07-17,39,59,49,553,1904
2014-07-18,37,59,48,553,1904
2014-07-19,41,56,49,554,1903
2014-07-20,41,51,46,554,1903
2014-07-21,42,58,50,554,1903
2014-07-22,43,52,48,555,1902
2014-07-23,44,61,53,555,1902
2014-07-24,45,62,54,556,1902
2014-07-25,44,64,54,556,1901
2014-07-26,42,57,50,556,1901
2014-07-27,38,54,46,557,1901
2014-07-28,35,58,47,557,1900
2014-07-29,34,53,44,557,1900
2014-07-30,38,56,47,558,1859
2014-07-31,39,55,47,558,1859
2014-08-01,44,62,53,558,1859
2014-08-02,42,60,51,559,1858
2014-08-03,43,60,52,559,1858
2014-08-04,44,64,54,559,1857
2014-08-05,43,61,52,600,1857
2014-08-06,40,60,50,600,1856
2014-08-07,41,50,46,600,1855
2014-08-08,41,52,47,601,1855
2014-08-09,39,57,48,601,1854
2014-08-10,38,53,46,601,1854
2014-08-11,39,56,48,602,1853
2014-08-12,40,58,49,602,1852
2014-08-13,41,62,52,602,1852
2014-08-14,44,63,54,603,1851
2014-08-15,45,63,54,603,1850
2014-08-16,42,62,52,603,1850
2014-08-17,39,58,49,603,1849
2014-08-18,38,57,48,604,1848
2014-08-19,36,55,46,604,1848
2014-08-20,38,54,46,604,1847
2014-08-21,40,56,48,604,1846
2014-08-22,39,57,48,605,1845
2014-08-23,43,60,52,605,1845
2014-08-24,42,59,51,605,1844
2014-08-25,41,60,51,605,1843
2014-08-26,41,56,49,606,1842
2014-08-27,40,55,48,606,1841
2014-08-28,39,56,48,606,1841
2014-08-29,38,55,47,606,1840
2014-08-30,44,59,52,607,1839
2014-08-31,42,60,51,607,1838
2014-09-01,38,55,47,607,1837
2014-09-02,42,59,51,607,1836
2014-09-03,42,60,51,607,1836
2014-09-04,44,58,51,608,1835
2014-09-05,44,61,53,608,1834
2014-09-06,41,58,50,608,1833
2014-09-07,39,54,47,608,1832
2014-09-08,39,53,46,608,1831
2014-09-09,39,54,47,609,1830
2014-09-10,40,55,48,609,1829
2014-09-11,42,56,49,609,1828
2014-09-12,39,60,50,609,1828
2014-09-13,41,60,51,609,1827
2014-09-14,42,59,51,610,1826
2014-09-15,43,57,50,610,1825
2014-09-16,40,52,46,610,1824
2014-09-17,39,53,46,610,1823
2014-09-18,37,55,46,610,1822
2014-09-19,40,54,47,611,1821
2014-09-20,41,51,46,611,1820
2014-09-21,38,52,45,611,1819
2014-09-22,40,56,48,611,1819
2014-09-23,41,59,50,611,1818
2014-09-24,41,58,50,612,1817
2014-09-25,40,56,48,612,1816
2014-09-26,41,61,51,612,1815
2014-09-27,42,52,47,612,1814
2014-09-28,42,56,49,612,1813
2014-09-29,40,54,47,613,1812
2014-09-30,35,52,44,613,1811
2014-10-01,37,53,45,613,1811
2014-10-02,38,52,45,613,1810
2014-10-03,36,52,44,614,1809
2014-10-04,38,52,45,614,1808
2014-10-05,40,52,46,614,1807
2014-10-06,38,54,46,614,1806
2014-10-07,42,53,48,615,1805
2014-10-08,42,56,49,615,1805
2014-10-09,42,60,51,615,1804
2014-10-10,39,58,49,615,1803
2014-10-11,39,54,47,616,1802
2014-10-12,36,53,45,616,1801
2014-10-13,33,53,43,616,1801
2014-10-14,37,54,46,616,1800
2014-10-15,39,58,49,617,1759
2014-10-16,43,61,52,617,1758
2014-10-17,44,51,48,617,1758
2014-10-18,43,48,46,618,1757
2014-10-19,42,54,48,618,1756
2014-10-20,41,60,51,618,1755
2014-10-21,38,59,49,619,1755
2014-10-22,41,55,48,619,1754
2014-10-23,36,56,46,620,1753
2014-10-24,40,58,49,620,1753
2014-10-25,39,58,49,620,1752
2014-10-26,37,59,48,621,1752
2014-10-27,39,55,47,621,1751
2014-10-28,40,58,49,622,1750
2014-10-29,41,57,49,622,1750
2014-10-30,39,56,48,622,1749
2014-10-31,37,56,47,623,1749
2014-11-01,37,51,44,623,1748
2014-11-02,41,54,48,624,1748
2014-11-03,40,54,47,624,1747
2014-11-04,37,48,43,625,1747
2014-11-05,39,56,48,625,1746
2014-11-06,43,56,50,626,1746
2014-11-07,38,57,48,626,1746
2014-11-08,36,55,46,627,1745
2014-11-09,37,59,48,627,1745
2014-11-10,42,60,51,628,1745
2014-11-11,42,57,50,628,1744
2014-11-12,41,56,49,629,1744
2014-11-13,39,56,48,629,1744
2014-11-14,38,54,46,630,1743
2014-11-15,37,51,44,630,1743
2014-11-16,38,55,47,631,1743
2014-11-17,42,57,50,632,1743
2014-11-18,38,56,47,632,1743
2014-11-19,37,56,47,633,1743
2014-11-20,39,51,45,633,1742
2014-11-21,39,55,47,634,1742
2014-11-22,38,54,46,635,1742
2014-11-23,33,53,43,635,1742
2014-11-24,41,59,50,636,1742
2014-11-25,42,59,51,636,1742
2014-11-26,41,55,48,637,1742
2014-11-27,39,57,48,638,1742
2014-11-28,38,56,47,638,1742
2014-11-29,35,54,45,639,1742
2014-11-30,35,50,43,640,1742
2014-12-01,35,52,44,640,1743
2014-12-02,35,51,43,641,1743
2014-12-03,38,51,45,641,1743
2014-12-04,42,52,47,642,1743
2014-12-05,39,50,45,643,1743
2014-12-06,36,51,44,643,1743
2014-12-07,36,56,46,644,1744
2014-12-08,38,58,48,645,1744
2014-12-09,39,56,48,645,1744
2014-12-10,39,60,50,646,1745
2014-12-11,42,60,51,646,1745
2014-12-12,37,55,46,647,1745
2014-12-13,37,56,47,648,1746
2014-12-14,38,56,47,648,1746
2014-12-15,40,57,49,649,1746
2014-12-16,40,57,49,649,1747
2014-12-17,38,57,48,650,1747
2014-12-18,40,56,48,650,1748
2014-12-19,42,59,51,651,1748
2014-12-20,39,56,48,651,1749
2014-12-21,36,52,44,652,1749
2014-12-22,31,47,39,652,1750
2014-12-23,31,41,36,653,1750
2014-12-24,36,45,41,653,1751
2014-12-25,40,54,47,654,1751
2014-12-26,41,53,47,654,1752
2014-12-27,37,51,44,655,1752
2014-12-28,39,56,48,655,1753
2014-12-29,36,54,45,655,1753
2014-12-30,36,53,45,656,1754
2014-12-31,34,53,44,656,1755
2015-01-01,38,51,45,657,1756
2015-01-02,34,40,37,657,1756
2015-01-03,29,36,33,657,1757
2015-01-04,31,44,38,658,1757
2015-01-05,37,51,44,658,1758
2015-01-06,38,52,45,658,1759
2015-01-07,38,54,46,658,1759
2015-01-08,38,57,48,659,1800
2015-01-09,36,55,46,659,1801
2015-01-10,34,51,43,659,1801
2015-01-11,38,54,46,659,1802
2015-01-12,40,57,49,659,1803
2015-01-13,41,56,49,659,1803
2015-01-14,35,58,47,659,1804
2015-01-15,38,58,48,659,1804
2015-01-16,40,56,48,700,1805
2015-01-17,38,58,48,700,1806
2015-01-18,37,57,47,700,1806
2015-01-19,37,59,48,700,1807
2015-01-20,36,56,46,659,1808
2015-01-21,40,58,49,659,1808
2015-01-22,39,54,47,659,1809
2015-01-23,43,65,54,659,1810
2015-01-24,41,61,51,659,1810
2015-01-25,40,55,48,659,1811
2015-01-26,42,59,51,659,1811
2015-01-27,36,58,47,659,1812
2015-01-28,36,54,45,658,1813
2015-01-29,35,54,45,658,1813
2015-01-30,36,54,45,658,1814
2015-01-31,33,53,43,658,1814
2015-02-01,36,53,45,657,1815
2015-02-02,38,54,46,657,1816
2015-02-03,41,54,48,657,1816
2015-02-04,39,50,45,656,1817
2015-02-05,38,50,44,656,1817
2015-02-06,33,47,40,655,1818
2015-02-07,32,54,43,655,1818
2015-02-08,43,59,51,655,1819
2015-02-09,42,55,49,654,1819
2015-02-10,35,50,43,654,1820
2015-02-11,34,54,44,653,1820
2015-02-12,37,53,45,653,1821
2015-02-13,40,54,47,652,1821
2015-02-14,38,57,48,652,1822
2015-02-15,37,51,44,651,1822
2015-02-16,37,53,45,651,1823
2015-02-17,36,54,45,650,1823
2015-02-18,36,54,45,649,1823
2015-02-19,38,56,47,649,1824
2015-02-20,39,54,47,648,1824
2015-02-21,36,51,44,647,1825
2015-02-22,35,52,44,647,1825
2015-02-23,40,53,47,646,1825
2015-02-24,40,56,48,646,1826
2015-02-25,39,57,48,645,1826
2015-02-26,36,48,42,644,1827
2015-02-27,35,49,42,643,1827
2015-02-28,35,44,40,643,1827
2015-03-01,33,44,39,642,1828
2015-03-02,32,43,38,641,1828
2015-03-03,33,46,40,640,1828
2015-03-04,33,39,36,640,1829
2015-03-05,33,48,41,639,1829
2015-03-06,35,49,42,638,1829
2015-03-07,38,53,46,637,1830
2015-03-08,32,46,39,637,1830
2015-03-09,33,37,35,636,1830
2015-03-10,34,42,38,635,1831
2015-03-11,31,37,34,634,1831
2015-03-12,32,39,36,633,1831
2015-03-13,31,41,36,632,1832
2015-03-14,31,47,39,632,1832
2015-03-15,33,51,42,631,1832
2015-03-16,36,54,45,630,1832
2015-03-17,36,57,47,629,1833
2015-03-18,36,57,47,628,1833
2015-03-19,39,60,50,627,1833
2015-03-20,38,61,50,626,1833
2015-03-21,41,60,51,626,1834
2015-03-22,37,56,47,625,1834
2015-03-23,38,58,48,624,1834
2015-03-24,36,56,46,623,1834
2015-03-25,38,54,46,622,1835
2015-03-26,34,59,47,621,1835
2015-03-27,39,58,49,620,1835
2015-03-28,42,58,50,620,1835
2015-03-29,39,57,48,619,1836
2015-03-30,36,54,45,618,1836
2015-03-31,31,50,41,617,1836
2015-04-01,32,49,41,616,1836
2015-04-02,31,49,40,615,1837
2015-04-03,35,50,43,614,1837
2015-04-04,39,51,45,614,1837
2015-04-05,35,53,44,613,1838
2015-04-06,35,52,44,612,1838
2015-04-07,33,47,40,611,1838
2015-04-08,33,52,43,610,1838
2015-04-09,34,51,43,610,1839
2015-04-10,35,49,42,609,1839
2015-04-11,35,48,42,608,1839
2015-04-12,33,48,41,607,1839
2015-04-13,36,53,45,606,1840
2015-04-14,39,52,46,606,1840
2015-04-15,37,48,43,605,1840
2015-04-16,34,47,41,604,1841
2015-04-17,34,50,42,603,1841
2015-04-18,37,53,45,602,1841
2015-04-19,40,58,49,602,1841
2015-04-20,39,60,50,601,1842
2015-04-21,43,63,53,600,1842
2015-04-22,40,60,50,600,1842
2015-04-23,39,57,48,559,1843
2015-04-24,43,58,51,558,1843
2015-04-25,43,57,50,558,1843
2015-04-26,41,55,48,557,1844
2015-04-27,37,54,46,556,1844
2015-04-28,33,55,44,556,1844
2015-04-29,37,59,48,555,1845
2015-04-30,36,57,47,554,1845
2015-05-01,37,53,45,554,1845
2015-05-02,35,50,43,553,1846
2015-05-03,33,53,43,553,1846
2015-05-04,40,55,48,552,1846
2015-05-05,42,59,51,552,1847
2015-05-06,42,63,53,551,1847
2015-05-07,41,59,50,550,1847
2015-05-08,38,59,49,550,1848
2015-05-09,38,54,46,550,1848
2015-05-10,36,51,44,549,1849
2015-05-11,37,55,46,549,1849
2015-05-12,37,51,44,548,1849
2015-05-13,33,45,39,548,1850
2015-05-14,31,49,40,547,1850
2015-05-15,32,52,42,547,1851
2015-05-16,33,56,45,547,1851
2015-05-17,38,60,49,546,1851
2015-05-18,38,58,48,546,1852
2015-05-19,39,55,47,546,1852
2015-05-20,39,54,47,545,1853
2015-05-21,37,55,46,545,1853
2015-05-22,39,59,49,545,1853
2015-05-23,41,55,48,545,1854
2015-05-24,39,59,49,544,1854
2015-05-25,42,62,52,544,1855
2015-05-26,43,64,54,544,1855
2015-05-27,44,57,51,544,1855
2015-05-28,43,60,52,544,1856
2015-05-29,44,62,53,543,1856
2015-05-30,41,54,48,543,1856
2015-05-31,39,52,46,543,1857
2015-06-01,38,54,46,543,1857
2015-06-02,41,56,49,543,1858
2015-06-03,41,55,48,543,1858
2015-06-04,39,55,47,543,1858
2015-06-05,37,53,45,543,1859
2015-06-06,36,55,46,543,1859
2015-06-07,40,54,47,543,1859
2015-06-08,38,56,47,543,1900
2015-06-09,38,53,46,543,1900
2015-06-10,37,49,43,543,1900
2015-06-11,34,46,40,543,1901
2015-06-12,32,50,41,543,1901
2015-06-13,39,52,46,543,1901
2015-06-14,42,57,50,544,1902
2015-06-15,41,63,52,544,1902
2015-06-16,48,61,55,544,1902
2015-06-17,46,65,56,544,1902
2015-06-18,45,67,56,544,1903
2015-06-19,43,61,52,544,1903
2015-06-20,43,60,52,545,1903
2015-06-21,45,60,53,545,1903
2015-06-22,45,59,52,545,1904
2015-06-23,46,65,56,545,1904
2015-06-24,42,60,51,545,1904
2015-06-25,42,59,51,546,1904
2015-06-26,42,57,50,546,1904
2015-06-27,38,56,47,546,1904
2015-06-28,42,55,49,546,1905
2015-06-29,40,56,48,547,1905
2015-06-30,40,56,48,547,1905
2015-07-01,37,54,46,547,1905
2015-07-02,38,54,46,548,1905
2015-07-03,38,56,47,548,1905
2015-07-04,39,56,48,548,1905
2015-07-05,41,59,50,549,1905
2015-07-06,43,60,52,549,1905
2015-07-07,39,55,47,549,1905
2015-07-08,40,53,47,550,1905
2015-07-09,38,55,47,550,1905
2015-07-10,40,55,48,550,1905
2015-07-11,46,60,53,551,1905
2015-07-12,46,58,52,551,1905
2015-07-13,45,57,51,551,1904
2015-07-14,45,60,53,552,1904
2015-07-15,44,66,55,552,1904
2015-07-16,43,59,51,553,1904
2015-07-17,41,54,48,553,1904
2015-07-18,39,56,48,553,1904
2015-07-19,43,56,50,554,1903
2015-07-20,40,51,46,554,1903
2015-07-21,37,49,43,554,1903
2015-07-22,37,52,45,555,1902
2015-07-23,39,59,49,555,1902
2015-07-24,43,59,51,556,1902
2015-07-25,45,56,51,556,1901
2015-07-26,42,58,50,556,1901
2015-07-27,44,55,50,557,1901
2015-07-28,40,55,48,557,1900
2015-07-29,46,62,54,557,1900
2015-07-30,48,64,56,558,1859
2015-07-31,45,63,54,558,1859
2015-08-01,46,66,56,558,1859
2015-08-02,45,52,49,559,1858
2015-08-03,44,51,48,559,1858
2015-08-04,40,54,47,559,1857
2015-08-05,43,56,50,600,1857
2015-08-06,41,54,48,600,1856
2015-08-07,41,59,50,600,1855
2015-08-08,43,64,54,601,1855
2015-08-09,43,63,53,601,1854
2015-08-10,40,59,50,601,1854
2015-08-11,39,55,47,602,1853
2015-08-12,40,55,48,602,1852
2015-08-13,40,56,48,602,1852
2015-08-14,44,56,50,603,1851
2015-08-15,41,53,47,603,1850
2015-08-16,41,52,47,603,1850
2015-08-17,42,53,48,603,1849
2015-08-18,40,52,46,604,1848
2015-08-19,39,52,46,604,1848
2015-08-20,38,51,45,604,1847
2015-08-21,42,65,54,604,1846
2015-08-22,46,59,53,605,1845
2015-08-23,45,57,51,605,1845
2015-08-24,43,48,46,605,1844
2015-08-25,42,52,47,605,1843
2015-08-26,42,55,49,606,1842
2015-08-27,41,57,49,606,1841
2015-08-28,43,59,51,606,1841
2015-08-29,42,59,51,606,1840
2015-08-30,42,56,49,607,1839
